CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2022-31112,"Parse Server is an open source backend that can be deployed to any infrastructure that can run Node.js. In affected versions parse Server LiveQuery does not remove protected fields in classes, passing them to the client. The LiveQueryController now removes protected fields from the client response. Users are advised to upgrade. Users unable t upgrade should use `Parse.Cloud.afterLiveQueryEvent` to manually remove protected fields.",CWE-212->CWE-201,"does not remove protected fields in classes, passing them to the client",,,pass protected fields to the client,,,Parse Server,,LiveQuery,"not, remove, in, classes, passing, does, them","nan, pass"
CVE-2022-31139,"UnsafeAccessor (UA) is a bridge to access jdk.internal.misc.Unsafe & sun.misc.Unsafe. Normally, if UA is loaded as a named module, the internal data of UA is protected by JVM and others can only access UA via UA's standard API. The main application can set up `SecurityCheck.AccessLimiter` for UA to limit access to UA. Starting with version 1.4.0 and prior to version 1.7.0, when `SecurityCheck.AccessLimiter` is set up, untrusted code can access UA without limitation, even when UA is loaded as a named module. This issue does not affect those for whom `SecurityCheck.AccessLimiter` is not set up. Version 1.7.0 contains a patch.",,Fix UnsafeAccess perm checking,,,access UA without limitation,,,UnsafeAccessor,1.4.0 to prior to 1.7.0,,"checking, unsafeaccess, fix, perm","ua, nan, limitation, access, without"
CVE-2022-31162,"Slack Morphism is an async client library for Rust. Prior to 0.41.0, it was possible for Slack OAuth client information to leak in application debug logs. Stricter and more secure debug formatting was introduced in v0.41.0 for OAuth secret types to reduce the possibility of printing sensitive information in application logs. As a workaround, do not print/output requests and responses for OAuth and client configurations in logs.",,possible for Slack OAuth client information to leak in application debug logs,,,leak Slack OAuth client information in debug logs,,,Slack Morphism,prior to 0.41.0,,"to, possible, for, application",nan
CVE-2022-31176,Grafana Image Renderer is a Grafana backend plugin that handles rendering of panels & dashboards to PNGs using a headless browser (Chromium/Chrome). An internal security review identified an unauthorized file disclosure vulnerability. It is possible for a malicious user to retrieve unauthorized files under some network conditions or via a fake datasource (if user has admin permissions in Grafana). All Grafana installations should be upgraded to version 3.6.1 as soon as possible. As a workaround it is possible to [disable HTTP remote rendering](https://grafana.com/docs/grafana/latest/setup-grafana/configure-grafana/#plugingrafana-image-renderer).,,Add support for auth token,,,retrieve unauthorized files,,,Grafana Image Renderer,prior to 3.6.1,,"add, auth, for, token, support","nan, files, retrieve, unauthorized"
CVE-2022-31185,"mprweb is a hosting platform for the makedeb Package Repository. Email addresses were found to not have been hidden, even if a user had clicked the `Hide Email Address` checkbox on their account page, or during signup. This could lead to an account's email being leaked, which may be problematic if your email needs to remain private for any reason. Users hosting their own mprweb instance will need to upgrade to the latest commit to get this fixed. Users on the official instance will already have this issue fixed.",,Email addresses were found to not have been hidden,,,leak account email addresses,,,mprweb,,,"hidden, found, not, have, been, to, were","nan, account, leak"
CVE-2022-31190,"DSpace open source software is a repository application which provides durable access to digital resources. dspace-xmlui is a UI component for DSpace. In affected versions metadata on a withdrawn Item is exposed via the XMLUI ""mets.xml"" object, as long as you know the handle/URL of the withdrawn Item. This vulnerability only impacts the XMLUI. Users are advised to upgrade to version 6.4 or newer.",,"should check, that the current user has READ permission on the object",,,expose metadata on withdrawn Items,,,DSpace,prior to 6.4,dspace-xmlui,"read, current, object, that, check, has, permission, user, should, the","metadata, withdrawn, nan, expose, items"
CVE-2022-31221,Dell BIOS versions contain an Information Exposure vulnerability. A local authenticated administrator user could potentially exploit this vulnerability in order access sensitive state information on the system.,,Information Exposure vulnerability,,,access sensitive state information,,,Dell BIOS,,,"exposure, ","nan, state, sensitive, access"
CVE-2022-32218,"An information disclosure vulnerability exists in Rocket.Chat <v5, <v4.8.2 and <v4.7.5 due to the actionLinkHandler method was found to allow Message ID Enumeration with Regex MongoDB queries.",CWE-20->CWE-204,"The actionLinks.getMessage method does not validate the input data...Whenever a Message ID does not match any existing message, the server will respond with invalid-message error. When it does exist, a different response (or error) is returned",,,Message ID Enumeration,,,Rocket.Chat,<v5|<v4.8.2|<v4.7.5,actionLinkHandler method,"error, server, data, response, will, respond, input, actionlinks, with, is, match, any, invalid, the, not, it, different, getmessage, existing, returned, exist, when, does, whenever, method, validate, a, or","nan, enumeration"
CVE-2022-32220,An information disclosure vulnerability exists in Rocket.Chat <v5 due to the getUserMentionsByChannel meteor server method discloses messages from private channels and direct messages regardless of the users access permission to the room.,,the server does not check the users access to the given room and returns all messages the user has been mentioned in,,,disclose messages from private channels and direct messages,,,Rocket.Chat,<v5,getUserMentionsByChannel meteor server method,"returns, room, not, server, check, given, has, in, all, been, to, user, access, does, mentioned, users, the","from, disclose, direct, nan, channels, private"
CVE-2022-3348,"Just like in the previous report, an attacker could steal the account of different users. But in this case, it's a little bit more specific, because it is needed to be an editor in the same app as the victim.",,"/api/threads/:app_id/all endpoint. It retrieves sensitive information about every user that's in an app's thread, including these users' ",,,steal the account of different users,,,,,,"sensitive, all, endpoint, api, s, user, threads, app_id, about, that, in, retrieves, app, thread, every, it, information, including, an, these","of, different, steal, nan, account, the"
CVE-2022-33740,"Linux disk/nic frontends data leaks T[his CNA information record relates to multiple CVEs; the text explains which aspects/vulnerabilities correspond to which CVE.] Linux Block and Network PV device frontends don't zero memory regions before sharing them with the backend (CVE-2022-26365, CVE-2022-33740). Additionally the granularity of the grant table doesn't allow sharing less than a 4K page, leading to unrelated data residing in the same 4K page as data shared with a backend being accessible by such backend (CVE-2022-33741, CVE-2022-33742).",,Linux Block and Network PV device frontends don't zero memory regions before sharing them with the backend,,,data leaks,,,Linux Block and Network PV device frontends,,,"memory, linux, before, pv, t, with, and, frontends, sharing, them, the, zero, regions, network, block, don, backend, device","nan, data, leaks"
